name,latitude,longitude,country
Mataro,41.533375,2.445464,ES
Malgrat,NA,NA,ES
Logrono,42.457778,-2.440833,ES
La Molina,NA,NA,ES
Jaca,42.578261,-0.538759,ES
Huesca,42.133178,-0.409953,ES
Huelva,37.252655,-6.950675,ES
Gijon-Sanz Crespo,43.537697,-5.675932,ES
Elx Parc,38.269209,-0.706462,ES
Cullera,NA,NA,ES
Cartagena,37.605023,-0.974763,ES
Cambrils,41.07005,1.052888,ES
Benicasim,NA,NA,ES
Canfranc,42.751258,-0.513805,ES
Sevilla Santa Justa,NA,NA,ES
Aguilas,37.410011,-1.57286,ES
Malaga-Maria Zambrano,36.711819,-4.43214,ES
Aviles,43.5612,-5.9228,ES
Ayamonte,37.21667,-7.4,ES
Ciudad Real,38.985029,-3.912914,ES
Gandia,38.970503,-0.180566,ES
Guillarei,42.065669,-8.622264,ES
Manresa,41.720231,1.826482,ES
Orihuela-Miguel Hernandez,38.077739,-0.944541,ES
Pineda,NA,NA,ES
Pontevedra,42.421534,-8.635496,ES
Puertollano,38.691199,-4.111989,ES
Santander Estacion,43.458287,-3.811435,ES
Talavera de la Reina,39.970778,-4.826919,ES
Torrelavega,43.327556,-4.042422,ES
Tudela de Navarra,42.05952,-1.597553,ES
Utrera,37.183241,-5.790221,ES
Valencia de Alcantara Frontera,NA,NA,ES
El Vendrell,NA,NA,ES
Caspe,41.240054,-0.04233,ES
Melilla,NA,NA,ES
Sarria,42.784392,-7.418725,ES
Jerez de la Frontera,36.6782,-6.125159,ES
Puerto de Santa Maria,36.604075,-6.217766,ES
Vilanova i la Geltru,41.220089,1.731241,ES
Calasparra,38.269353,-1.680065,ES
Burriana-Alquerias del Nino Perdido,NA,NA,ES
Guadalajara,40.632399,-3.160243,ES
Arenys de Mar,NA,NA,ES
Ferrol,43.488266,-8.230855,ES
Betanzos-Cidade,43.284264,-8.215673,ES
Reus,41.160644,1.100216,ES
Vic,NA,NA,ES
Alacant-Terminal,38.344444,-0.494972,ES
Aguilar de la Frontera,37.5245,-4.66082,ES
Algeciras,NA,NA,ES
Algeciras Puerto,NA,NA,ES
Almeria,36.883792,-2.435914,ES
Alsasua,42.8957,-2.18146,ES
Andorre,NA,NA,ES
Arevalo,NA,NA,ES
La Garrovilla,38.915453,-6.474067,ES
Arbos,NA,NA,ES
Corcos-Aguilarejo,41.76613,-4.623637,ES
Astorga,42.459513,-6.047124,ES
Avila,40.657212,-4.682948,ES
Bilbao Abando,43.259715,-2.927507,ES
Barcelona Sant Andreu Condal,41.435884,2.193529,ES
Barcelona,41.3822707294243,2.17738509178162,ES
Benicarlo-Peniscola,40.427088,0.414753,ES
